fid,Rasalpur_1,Rasalpur_2,Rasalpur_3
"1",73,103,63
"2",118,153,116
"3",82,122,81
"4",162,197,160
"5",105,145,102
"6",103,144,109
"7",69,110,71
"8",159,196,148
"9",118,148,113
"10",71,95,74
"11",150,184,143
"12",97,133,91
"13",155,196,149
"14",62,80,61
"15",79,115,80
"16",109,148,97
"17",51,84,52
"18",111,152,105
"19",152,188,145
"20",84,122,74
"21",148,186,140
"22",86,122,82
"23",40,80,49
"24",109,149,105
"25",55,79,46
"26",85,127,83
"27",25,60,27
"28",57,85,60
"29",68,103,66
"30",68,103,74
"31",69,115,84
"32",105,140,107
"33",66,105,69
"34",120,155,122
"35",83,128,83
"36",115,146,123
"37",35,66,43
"38",43,70,56
"39",69,108,72
"40",122,151,118
"41",151,182,144
"42",160,190,159
"43",67,94,73
"44",36,65,32
"45",165,195,162
"46",50,82,52
"47",79,108,77
"48",122,154,126
"49",130,156,124
"50",130,159,130
"51",120,155,124
"52",126,162,129
"53",60,95,68
"54",65,97,67
"55",81,110,81
"56",102,138,98
"57",121,157,122
"58",56,91,56
"59",145,179,138
"60",159,182,155
"61",59,91,63
"62",119,150,110
"63",108,146,114
"64",110,145,116
"65",115,150,113
"66",99,135,100
"67",117,152,117
"68",125,158,122
"69",62,97,70
"70",108,137,110
"71",124,160,127
"72",54,93,57
"73",109,138,111
"74",129,162,130
"75",69,103,74
"76",62,96,69
"77",140,173,137
"78",95,123,98
"79",77,106,71
"80",85,106,71
"81",113,146,110
"82",21,56,23
"83",98,123,95
"84",72,108,75
"85",109,144,111
"86",150,183,147
"87",33,72,38
"88",55,89,62
"89",25,66,31
"90",94,131,91
"91",32,72,28
"92",24,66,24
"93",83,118,81
"94",54,83,54
"95",157,192,147
"96",74,103,72
"97",89,134,73
"98",114,145,101
"99",192,232,189
"100",107,134,113
"101",119,155,113
"102",67,101,59
"103",76,121,78
"104",184,210,166
"105",176,206,173
"106",65,96,58
"107",144,174,134
"108",187,218,180
"109",184,208,179
"110",60,85,57
"111",77,112,75
"112",88,116,95
"113",223,233,202
"114",87,132,87
"115",170,212,168
"116",176,212,179
"117",91,122,82
"118",123,160,114
"119",71,100,73
"120",96,138,94
"121",110,151,104
"122",83,120,77
"123",69,114,68
"124",128,140,124
"125",160,199,148
"126",20,55,28
"127",100,134,95
"128",65,100,63
"129",108,146,114
"130",140,188,128
"131",73,103,72
"132",75,111,76
"133",131,164,115
"134",130,166,123
"135",70,99,72
"136",64,97,63
"137",89,122,88
"138",66,104,74
"139",110,146,109
"140",89,125,90
"141",87,121,90
"142",60,89,62
"143",46,74,47
"144",77,109,79
"145",176,209,173
"146",67,99,69
"147",65,101,64
"148",84,119,84
"149",111,140,111
"150",160,200,156
"151",103,144,105
"152",102,137,106
"153",90,123,91
"154",111,156,120
"155",137,172,141
"156",81,114,80
"157",70,100,65
"158",155,185,150
"159",100,133,99
"160",90,116,82
"161",142,172,132
"162",126,162,125
"163",10,48,18
"164",144,181,141
"165",63,98,69
"166",149,184,147
"167",115,143,118
"168",130,164,135
"169",77,105,78
"170",126,160,118
"171",70,105,72
"172",53,87,63
"173",76,103,82
"174",147,187,146
"175",148,183,154
"176",107,143,106
"177",87,122,89
"178",79,115,82
"179",120,161,124
"180",133,170,124
"181",131,169,121
"182",148,184,134
"183",45,69,51
"184",169,206,160
"185",90,129,95
"186",160,182,141
"187",101,145,109
"188",121,156,121
"189",80,112,84
"190",60,87,71
"191",38,70,40
"192",48,83,56
"193",23,57,28
"194",144,177,141
"195",113,142,113
"196",145,174,147
"197",100,135,102
"198",101,130,101
"199",129,162,130
"200",130,152,124
"201",85,122,82
"202",26,64,36
"203",110,149,111
"204",100,135,104
"205",52,76,56
"206",117,149,105
"207",92,127,90
"208",124,163,106
"209",104,140,105
"210",88,125,85
"211",79,112,78
"212",75,114,78
"213",130,165,128
"214",146,191,146
"215",126,163,121
"216",131,166,133
"217",81,118,78
"218",57,91,60
"219",93,132,94
"220",105,150,110
"221",91,123,93
"222",76,119,87
"223",62,97,68
"224",106,148,106
"225",47,71,50
"226",139,177,131
"227",70,104,80
"228",68,106,74
"229",82,116,75
"230",63,102,66
"231",65,102,60
"232",93,134,85
"233",112,155,107
"234",108,162,98
"235",48,93,47
"236",31,72,25
"237",58,97,63
"238",71,107,74
"239",80,124,70
"240",104,144,111
"241",48,89,50
"242",109,149,105
"243",55,96,57
"244",99,133,94
"245",43,84,47
"246",106,147,100
"247",91,135,82
"248",112,151,115
"249",170,204,162
"250",54,94,61
"251",86,125,89
"252",109,149,118
"253",95,135,94
"254",86,117,79
"255",56,89,53
"256",58,90,60
"257",119,154,121
"258",108,137,110
"259",50,85,52
"260",102,135,101
"261",104,142,96
"262",122,161,125
"263",60,100,59
"264",78,107,82
"265",74,106,78
"266",85,118,84
"267",126,166,123
"268",109,143,119
"269",56,92,55
"270",52,91,57
"271",110,145,116
"272",100,135,102
"273",63,91,62
"274",43,79,36
"275",145,184,148
"276",120,156,119
"277",51,88,46
"278",138,156,138
"279",54,86,68
"280",87,119,91
"281",96,132,95
"282",119,153,114
"283",186,221,184
"284",202,238,201
"285",161,221,153
"286",224,255,225
"287",133,174,137
"288",96,141,101
"289",65,99,68
"290",100,130,115
"291",150,198,154
"292",85,133,87
"293",100,157,100
"294",91,136,98
"295",107,147,116
"296",178,216,164
"297",240,255,235
"298",122,157,124
"299",126,167,128
"300",91,121,67
"301",167,204,164
"302",183,210,188
"303",120,160,119
"304",192,224,178
"305",99,143,105
"306",85,127,85
"307",131,178,127
"308",114,175,116
"309",131,166,137
"310",148,191,159
"311",187,224,182
"312",22,61,23
"313",124,167,133
"314",32,73,36
"315",110,151,112
"316",106,147,112
"317",134,175,140
"318",175,211,174
"319",123,158,123
"320",167,203,163
"321",164,204,160
"322",90,137,96
"323",99,146,107
"324",29,66,41
"325",124,157,125
"326",71,104,72
"327",35,79,39
"328",85,135,95
"329",171,208,160
"330",49,90,55
"331",116,163,126
"332",101,150,114
"333",48,96,68
"334",99,135,100
"335",116,147,103
"336",107,142,105
"337",173,209,167
"338",88,125,100
"339",87,136,100
"340",108,139,101
"341",55,81,51
"342",70,96,66
"343",43,74,36
"344",176,208,156
"345",27,56,8
"346",47,77,63
"347",119,140,116
"348",92,115,90
"349",158,185,146
"350",111,145,104
"351",111,141,103
"352",109,146,100
"353",66,105,69
"354",167,193,159
"355",154,184,151
"356",152,186,144
"357",70,99,68
"358",122,163,114
"359",36,72,37
"360",70,100,65
"361",55,88,54
"362",11,53,9
"363",102,125,87
"364",58,102,49
"365",75,111,69
"366",95,150,112
"367",173,213,154
"368",43,92,60
"369",153,196,148
"370",153,182,149
"371",67,111,73
"372",45,71,41
"373",66,100,59
"374",141,178,132
"375",99,125,95
"376",92,128,91
"377",91,121,80
"378",168,203,156
"379",133,181,137
"380",88,132,94
"381",155,198,164
"382",187,212,163
"383",156,176,146
"384",101,117,82
"385",110,151,104
"386",92,107,77
"387",160,196,146
"388",86,118,69
"389",99,128,93
"390",109,139,104
"391",100,133,101
"392",104,126,96
"393",76,102,68
"394",52,91,53
"395",113,150,110
"396",118,153,116
"397",168,191,153
"398",152,199,142
"399",104,135,97
"400",39,72,51
"401",52,89,47
"402",105,144,108
"403",117,138,112
"404",84,127,93
"405",111,147,107
"406",76,121,78
"407",78,91,74
"408",79,113,86
"409",53,91,61
"410",130,159,130
"411",110,148,100
"412",128,146,117
"413",51,84,48
"414",122,158,123
"415",123,155,125
"416",51,90,54
"417",49,81,51
"418",67,101,59
"419",81,107,77
"420",86,124,78
"421",162,178,142
"422",161,185,154
"423",32,38,17
"424",72,96,63
"425",78,128,70
"426",76,111,82
"427",213,255,203
"428",108,144,109
"429",106,143,101
"430",30,65,34
"431",90,126,86
"432",71,123,76
"433",59,99,56
"434",39,96,39
"435",87,131,77
"436",89,138,86
"437",78,113,78
"438",90,132,87
"439",81,117,67
"440",90,140,85
"441",108,154,105
"442",29,58,27
"443",23,56,24
"444",175,209,167
"445",109,155,106
"446",81,137,83
"447",108,167,98
"448",105,148,100
"449",0,25,0
"450",97,151,92
"451",151,186,141
"452",55,91,48
"453",66,122,70
"454",129,162,112
"455",54,95,48
"456",68,103,66
"457",159,186,149
"458",213,243,189
"459",130,171,106
"460",64,88,47
"461",115,144,96
"462",106,142,92
"463",156,181,143
"464",105,145,84
"465",55,97,53
"466",210,253,203
"467",131,167,130
"468",100,145,99
"469",14,53,1
"470",142,184,139
"471",105,141,106
"472",98,131,97
"473",42,85,58
"474",132,167,122
"475",191,238,184
"476",63,99,57
"477",42,78,36
"478",100,134,93
"479",182,226,172
"480",155,188,133
"481",189,212,165
"482",126,161,114
"483",140,179,125
"484",111,144,92
"485",129,150,113
"486",117,155,107
